feed_title,entry_title,entry_link,entry_published_date,entry_summary,entry_content
FOX Sports Digital,Is Caleb Williams the worst rookie QB in his class? | The Facility,https://www.foxsports.com/watch/fmc-55f6sv67qfwjy123,"Mon, 11 Nov 2024 18:16:27 +0000","Emmanuel Acho, LeSean McCoy, James Jones and Chase Daniel debate whether Caleb Williams is the worst rookie QB of his class after the Chicago Bears fell short to the New England Patriots 19-3. The Bears are now 4-5 with losses to Drake Maye and Jayden Daniels.",No content found
FOX Sports Digital,What separates Patrick Mahomes and the Chiefs from the rest of the NFL? | The Herd,https://www.foxsports.com/watch/fmc-c5rsdaa74dt4cnbs,"Mon, 11 Nov 2024 18:12:04 +0000","The Kansas City Chiefs beat the Denver Broncos on a blocked field goal, and Patrick Mahomes is now 9-0 on the season. Colin Cowherd discusses what makes the Chiefs so special.",No content found
FOX Sports Digital,Has Russell Wilson made Steelers elite with a 7-2? record? | The Facility,https://www.foxsports.com/watch/fmc-mz1iyymxspqbiu1f,"Mon, 11 Nov 2024 17:51:25 +0000",LeSean McCoy discusses whether Russell Wilson has made the Pittsburgh Steelers elite at 7-2 after a 28-27 win over the hot Washington Commanders.,No content found
FOX Sports Digital,2024 NFL Week 10 betting recap: Books 'were in sight of Xanadu',https://www.foxsports.com/stories/nfl/2024-nfl-week-10-betting-recap-books-were-sight-xanadu,"Mon, 11 Nov 2024 12:43:01 -0500","NFL favorites went 1-7 ATS in Week 10. However, Denver and Washington losses prevented the house from having a ""Sunday for the ages."" Patrick Everson has the scoop.",No content found
FOX Sports Digital,Issue with Deebo Samuel shoving long snapper Taybor Pepper after 3 missed FGs? | The Facility,https://www.foxsports.com/watch/fmc-l6np04hxbhu2g4t9,"Mon, 11 Nov 2024 17:26:04 +0000",Emmanuel Acho sounds off on Deebo Samuel shoving long snapper Taybor Pepper is problematic or not. Jake Moody missed three field goals but later sealed the San Francisco 49ers a win over the Tampa Bay Bucs with a game-winning field goal.,No content found
FOX Sports Digital,NFL Week 10 Big Bets Recap: Bettor turns $43 into $98k on TD parlay,https://www.foxsports.com/stories/nfl/nfl-week-10-big-bets-recap-bettor-turns-43-98k-td-parlay,"Mon, 11 Nov 2024 11:46:52 -0500","A two-leg, first-TD parlay earned one bettor nearly 100k — and the players that scored were not the usual suspects. Patrick Everson breaks that down and more.",No content found
FOX Sports Digital,"WRs Ricky Pearsall, Mike Williams score huge TDs; Giants, Jets hit rock bottom?",https://www.foxsports.com/stories/nfl/nfl-heat-index-ricky-pearsall-kyler-murray-mike-williams-shine-giants-jets-rock-bottom,"Mon, 11 Nov 2024 11:21:42 -0500","Ricky Pearsall and Mike Williams make comeback statements, while the Giants and Jets flounder. Here's who hot and who's not around the NFL.",No content found
FOX Sports Digital,"Patriots beat Bears 19-3, Is Chicago ruining Caleb Williams? | Breakfast Ball",https://www.foxsports.com/watch/fmc-o452a3q8xcnwf3r3,"Mon, 11 Nov 2024 15:55:23 +0000","The Chicago Bears lost to the New England Patriots 19-3 in an ugly game for Caleb Williams, who was sacked 9 times. Craig Carton, Danny Parkins, and Mark Schlereth ask if the Bears are ruining Caleb Williams.",No content found
FOX Sports Digital,"Cardinals beat Jets 31-6, Is the Aaron Rodgers experiment over? | Breakfast Ball",https://www.foxsports.com/watch/fmc-4ejipgyskjlf71q6,"Mon, 11 Nov 2024 15:55:06 +0000","The Arizona Cardinals blew out the New York Jets 31-6 in a game where Aaron Rodgers only threw for 151 yards. Craig Carton, Danny Parkins, and Mark Schlereth discuss the Aaron Rodgers experiment, and if it should end.",No content found
FOX Sports Digital,"Chiefs beat Broncos 16-14, Are the Chiefs good or lucky? | Breakfast Ball",https://www.foxsports.com/watch/fmc-c2ozgwevlvt08ak6,"Mon, 11 Nov 2024 15:54:47 +0000","The Kansas City Chiefs beat the Denver Broncos 16-14 following a blocked field goal in the last second of the game. Craig Carton, Danny Parkins, and Mark Schlereth ask if the Chiefs are good or if they’re just lucky",No content found
FOX Sports Digital,"NFL top-10 rankings: Chiefs top Lions; Steelers, Bills, Eagles climb; Falcons drop out",https://www.foxsports.com/stories/nfl/nfl-rankings-week-10-chiefs-lions-steelers-bills-ravens-eagles,"Mon, 11 Nov 2024 09:50:09 -0500","Wild wins by the Chiefs and Lions keep Bucky Brooks' top two in tact, but the Steelers, Bills and Eagles shake up the middle of the pack.",No content found
FOX Sports Digital,"2024 NFL odds Week 11: Lines, spreads for all 14 games",https://www.foxsports.com/stories/nfl/2024-nfl-odds-week-11-lines-spreads-all-14-games,"Mon, 11 Nov 2024 00:34:23 -0500",Week 11 of the NFL season is nearly here. Check out the odds for all 14 matchups!,No content found
FOX Sports Digital,"Jared Goff does the unthinkable, plus 10 more incredible stats from Week 10",https://www.foxsports.com/stories/nfl/jared-goff-does-unthinkable-plus-10-more-incredible-stats-from-week-10,"Mon, 11 Nov 2024 00:34:11 -0500","Jared Goff pulled off an improbable win on Sunday night. FOX Sports Research broke down how, along with ten other incredible stats from Week 10.",No content found
FOX Sports Digital,"Kyler Murray squarely in MVP race, and what else we learned in Week 10",https://www.foxsports.com/stories/nfl/week-10-takeaways-49ers-bucs-steelers-commanders-eagles-cowboys-broncos-chiefs,"Mon, 11 Nov 2024 00:28:11 -0500",FOX Sports' NFL experts identify what we learned about each team from Sunday's games and what it all means going forward.,No content found
FOX Sports Digital,"Brock Purdy, 49ers SURVIVE In Christian McCaffrey's debut vs. Baker Mayfield, Bucs | NFL on FOX Pod",https://www.foxsports.com/watch/fmc-x51fwehpyoaid2v9,"Mon, 11 Nov 2024 04:57:10 +0000","Dave Helman sits down to talk about the San Francisco 49ers' victory over the Tampa Bay Buccaneers! Within the segment, Helman breaks down Brock Purdy's performance and Christian McCaffrey making his season debut. He also makes sure to touch on Tampa Bay and Baker Mayfield.",No content found
FOX Sports Digital,"Russell Wilson, Pittsburgh Steelers STUN Jayden Daniels, Washington Commanders | NFL on FOX Pod",https://www.foxsports.com/watch/fmc-zckbri50yrdhpdaq,"Mon, 11 Nov 2024 04:52:49 +0000","Dave Helman sits down to talk about the Pittsburgh Steelers' victory over the Washington Commanders! Within the discussion, Helman gushes about Mike Williams' performance and what this means for Russell Wilson & the Steelers. Helman also makes sure to discuss how Jayden Daniels and the Commanders performed in the tight loss.",No content found
FOX Sports Digital,"NFL Week 10 highlights: Lions storm back vs. Texans, Eagles blow out Cowboys",https://www.foxsports.com/live-blog/nfl/nfl-week-10-live-updates-scores-panthers-leading-giants-germany,"Sun, 10 Nov 2024 11:07:24 -0500","Week 10 of the NFL season continued on Sunday, starting with a matchup in Germany. Here are the top plays!","Week 10 of the NFL season continued Sunday with a handful of jaw-dropping moments, highlighted by the Chiefs keeping their perfect record intact with a last-second blocked field goal against the Broncos as time expired at Arrowhead. Kicking things off, the Panthers defeated the Giants in overtime in Munich to close out the league's international slate. Meanwhile, the 49ers beat the Buccaneers at the buzzer with Tom Brady on the call. Recap that game here. In the Sunday night game, the Texans jumped out to a 23-7 lead on the Lions, but Detroit scored 19 unanswered points in the second half to win. Here are the highlights!"
FOX Sports Digital,Tom Brady's LFG Player of the Game for Week 10: 49ers QB Brock Purdy,https://www.foxsports.com/stories/nfl/tom-bradys-lfg-player-game-week-10-49ers-qb-brock-purdy,"Sun, 10 Nov 2024 23:21:54 -0500","In Week 10, Tom Brady's LFG Player of the Game went to 49ers quarterback Brock Purdy, who led his team to a last-minute win over the Bucs.",No content found
FOX Sports Digital,"Cowboys WR CeeDee Lamb, Jerry Jones disagree about curtains at AT&T Stadium",https://www.foxsports.com/stories/nfl/cowboys-wr-ceedee-lamb-jerry-jones-disagree-about-curtains-att-stadium,"Sun, 10 Nov 2024 22:47:51 -0500","CeeDee Lamb is ""1000 percent"" in favor of curtains at AT&amp;T Stadium after losing the ball in the sun, but Cowboys owner Jerry Jones disagrees.",No content found
FOX Sports Digital,Winning Tom Brady LFG Player of the Game ‘pretty special’ for 49ers QB Brock Purdy,https://www.foxsports.com/stories/nfl/winning-tom-brady-lfg-player-game-pretty-special-49ers-qb-brock-purdy,"Sun, 10 Nov 2024 19:40:53 -0500","Brock Purdy led a clutch final drive, which led to a 49ers victory over the Bucs and some ""pretty special"" recognition from Tom Brady.",No content found
FOX Sports Digital,Bears mulling over whether to fire offensive coordinator Shane Waldron,https://www.foxsports.com/stories/nfl/bears-mulling-over-whether-fire-offensive-coordinator-shane-waldron,"Mon, 11 Nov 2024 17:59:13 -0500","The Bears are mulling whether to fire offensive coordinator Shane Waldron in the wake, coach Matt Eberflus said Monday.",No content found
FOX Sports Digital,Lionel Messi & Inter Miami SHOCKINGLY lose to Atlanta United 3-2 | SOTU,https://www.foxsports.com/watch/fmc-g5i0siqjkw9sw0gi,"Mon, 11 Nov 2024 22:45:10 +0000",Alexi Lalas and David Mosse reacted Lionel Messi and Inter Miami's shocking loss to Atlanta United in the first round of the MLS Cup playoffs.,No content found
FOX Sports Digital,"2024 Big Ten Power Rankings: Oregon, Ohio State keep hold on top through Week 11",https://www.foxsports.com/stories/college-football/2024-big-ten-power-rankings-oregon-ohio-state-keep-hold-top-through-week-11,"Mon, 11 Nov 2024 17:24:04 -0500","As the season wears on, it's become clear that the Big Ten is about four teams — Oregon, Ohio State, Indiana and Penn State — and the rest.",No content found
FOX Sports Digital,Dana Holgorsen takes over as Nebraska's offensive coordinator,https://www.foxsports.com/stories/college-football/dana-holgorsen-takes-over-nebraskas-offensive-coordinator,"Mon, 11 Nov 2024 17:15:00 -0500",Nebraska coach Matt Rhule announced Dana Holgorsen will take over as Nebraska’s offensive coordinator for the rest of the season and Marcus Satterfield would remain on the staff,No content found
FOX Sports Digital,"Joel Embiid expected to make season debut for 76ers after injuries, suspension",https://www.foxsports.com/stories/nba/joel-embiid-expected-make-season-debut-76ers-after-injuries-suspension,"Mon, 11 Nov 2024 16:48:53 -0500",Joel Embiid is expected to make his season debut Tuesday night for the Philadelphia 76ers,No content found
FOX Sports Digital,"Giants will 'evaluate' Daniel Jones, QB situation during bye week",https://www.foxsports.com/stories/nfl/giants-will-evaluate-daniel-jones-qb-situation-during-bye-week,"Mon, 11 Nov 2024 16:46:29 -0500","The Giants plan to make improvements during their bye week, but will the looming quarterback situation be one of those areas?",No content found
FOX Sports Digital,How confident should people be in the Chiefs? | First Things First,https://www.foxsports.com/watch/fmc-wgoz5yzdpi6epvl8,"Mon, 11 Nov 2024 21:32:52 +0000",The Kansas City Chiefs remain undefeated after blocking a last-second field goal by the Denver Broncos. Nick Wright discusses the recent victory and how it instilled confidence in the Chiefs.,No content found
FOX Sports Digital,"College football playoff predictions: SMU, Ole Miss in; Georgia, Miami out",https://www.foxsports.com/stories/college-football/college-football-playoff-predictions-smu-ole-miss-in-georgia-miami-out,"Mon, 11 Nov 2024 16:23:38 -0500",FOX Sports college football analyst RJ Young shares his latest College Football Playoff projections after an upset-filled weekend.,No content found
FOX Sports Digital,Thunder's Chet Holmgren to miss at least 8 weeks with a pelvic fracture,https://www.foxsports.com/stories/nba/thunders-chet-holmgren-miss-least-8-weeks-pelvic-fracture,"Mon, 11 Nov 2024 16:23:06 -0500",Oklahoma City Thunder forward Chet Holmgren will miss at least eight weeks with a pelvic fracture.,No content found
FOX Sports Digital,Is Caleb Williams' struggles due to a lack of support from the Bears? | The Herd,https://www.foxsports.com/watch/fmc-wwleedz7ia27j162,"Mon, 11 Nov 2024 21:19:12 +0000",Albert Breer joins Colin Cowherd to discuss whether Caleb Williams lacks support in his tumultuous rookie season so far.,No content found
FOX Sports Digital,Jake Paul-Mike Tyson boxing match odds: Paul heavier favorite ahead of fight night,https://www.foxsports.com/stories/boxing/jake-paul-mike-tyson-boxing-match-odds,"Mon, 11 Nov 2024 16:11:09 -0500",Tyson and Paul are set to finally face off on Nov. 15 in a sanctioned professional bout. Check out the odds for one of the year's most-anticipated matches.,No content found
FOX Sports Digital,Matt Hasselbeck on Russell Wilson improving to 3-0 as Steelers starter | The Herd,https://www.foxsports.com/watch/fmc-hf0501af4ap4kkm3,"Mon, 11 Nov 2024 21:03:20 +0000",Matt Hasselbeck joins The Herd to discuss Russell Wilson's performance in Pittsburgh Steelers win 28-27 win against the Washington Commanders 28-27.,No content found
FOX Sports Digital,"Wisconsin football adviser Jack Del Rio resigns after OWI arrest, crash",https://www.foxsports.com/stories/college-football/wisconsin-football-adviser-jack-del-rio-resign-after-owi-arrest-crash,"Mon, 11 Nov 2024 15:10:52 -0500","Jack Del Rio, a senior adviser with Wisconsin, is set to resign after he was arrested and cited for operating a vehicle while intoxicated.",No content found
FOX Sports Digital,Behind-the-scenes: Rich Russo directs 49ers vs. Buccaneers | NFL on FOX,https://www.foxsports.com/watch/fmc-6p7ir3462m9dtuzr,"Mon, 11 Nov 2024 19:24:34 +0000",Check out this behind-the-scenes footage of Rich Russo directing the San Francisco 49ers vs. Tampa Bay Buccaneers.,No content found
FOX Sports Digital,Rich Russo plays lacrosse with Jim Brown,https://www.foxsports.com/watch/fmc-4fwdaasp8ekb78b6,"Mon, 11 Nov 2024 19:24:00 +0000",Check out this behind-the-scenes footage of Rich Russo playing lacrosse with Jim Brown.,No content found
FOX Sports Digital,"AP Top 25: Kansas remains No. 1, St. John's makes first appearance in 5 years",https://www.foxsports.com/stories/college-basketball/ap-top-25-kanas-remains-no-1-st-johns-makes-first-appearance-5-years,"Mon, 11 Nov 2024 14:10:08 -0500","Kansas remained No. 1 in the AP men's college basketball poll following the first week of the season, while St. John's entered at No. 22.",No content found
FOX Sports Digital,The surprising rise of Jayden Daniels shouldn't have been a surprise at all,https://www.foxsports.com/stories/nfl/jayden-daniels-rise-shouldnt-have-been-surprise-all,"Mon, 11 Nov 2024 14:08:58 -0500","To hear Kliff Kingsbury tell it, Jayden Daniels struggles with the ""trash can drill."" But that's about the only thing the Commanders standout hasn't excelled at in his rookie season.",No content found
FOX Sports Digital,Most receiving yards in a single NFL game,https://www.foxsports.com/stories/nfl/most-receiving-yards-single-nfl-game,"Mon, 11 Nov 2024 14:04:25 -0500",Check out this article for a complete list of NFL single-game receiving yard leaders.,No content found
FOX Sports Digital,Most wins in NFL history: Teams with the best all-time regular season records,https://www.foxsports.com/stories/nfl/most-wins-nfl-regular-season,"Mon, 11 Nov 2024 14:02:13 -0500","Check out this article for a complete list of teams who have the most total wins in the NFL regular season, both by winning percentage and number of games.",No content found
FOX Sports Digital,Most NFL Playoff Wins: List of teams with the best all-time records,https://www.foxsports.com/stories/nfl/most-playoff-wins-nfl,"Mon, 11 Nov 2024 13:52:22 -0500","Check out this article for a complete list of teams who have the most total wins in the NFL playoffs, both by winning percentage and number of games.",No content found
FOX Sports Digital,2024 College Football Championship odds: Ohio State favored; Miami takes tumble,https://www.foxsports.com/stories/college-football/college-football-2024-25-college-football-playoff-championship-odds,"Mon, 11 Nov 2024 13:50:29 -0500","Ohio State still sits atop the oddsboard to win the College Football Playoff. However, two top-ranked teams suffered losses and saw their odds tumble. Check out the latest.",No content found
FOX Sports Digital,2025 Women's March Madness odds: South Carolina favored; USC giving chase,https://www.foxsports.com/stories/womens-college-basketball/2025-womens-march-madness-championship-odds,"Mon, 11 Nov 2024 13:49:08 -0500",The defending champs are favored to be champs again. Check out the early odds for the women's national title winner.,No content found
FOX Sports Digital,NFL All-Time Rushing Leaders: Who has the most rushing yards in history?,https://www.foxsports.com/stories/nfl/who-has-most-rushing-yards-nfl-history,"Mon, 11 Nov 2024 13:40:48 -0500",Discover the NFL's all-time rushing leaders and see who holds the record for the most rushing yards in history including the current active leader.,No content found
FOX Sports Digital,Is Caleb Williams the worst rookie QB in his class? | The Facility,https://www.foxsports.com/watch/fmc-55f6sv67qfwjy123,"Mon, 11 Nov 2024 18:16:27 +0000","Emmanuel Acho, LeSean McCoy, James Jones and Chase Daniel debate whether Caleb Williams is the worst rookie QB of his class after the Chicago Bears fell short to the New England Patriots 19-3. The Bears are now 4-5 with losses to Drake Maye and Jayden Daniels.",No content found
FOX Sports Digital,What separates Patrick Mahomes and the Chiefs from the rest of the NFL? | The Herd,https://www.foxsports.com/watch/fmc-c5rsdaa74dt4cnbs,"Mon, 11 Nov 2024 18:12:04 +0000","The Kansas City Chiefs beat the Denver Broncos on a blocked field goal, and Patrick Mahomes is now 9-0 on the season. Colin Cowherd discusses what makes the Chiefs so special.",No content found
FOX Sports Digital,Alabama blows out LSU 42-13 in a dominant win | Joel Klatt Show,https://www.foxsports.com/watch/fmc-9px3w6uoh36kfo9z,"Mon, 11 Nov 2024 17:53:37 +0000",Joel Klatt recapped the Alabama Crimson Tide vs. LSU Tigers. He explained how Alabama has been dominant since their loss to Tennessee. Joel ran through who would make the SEC championship game and how many SEC teams would make the playoffs.,No content found
FOX Sports Digital,Has Russell Wilson made Steelers elite with a 7-2? record? | The Facility,https://www.foxsports.com/watch/fmc-mz1iyymxspqbiu1f,"Mon, 11 Nov 2024 17:51:25 +0000",LeSean McCoy discusses whether Russell Wilson has made the Pittsburgh Steelers elite at 7-2 after a 28-27 win over the hot Washington Commanders.,No content found
FOX Sports Digital,"Juan Soto next team odds: Yankees, Mets favored to land star outfielder",https://www.foxsports.com/stories/mlb/juan-soto-next-team-odds,"Mon, 11 Nov 2024 12:48:06 -0500","The Juan Soto sweepstakes are set to begin. Which contender will land the perennial All-Star? Or, will he stay with the Yankees? See the odds.",No content found
FOX Sports Digital,2024 NFL Week 10 betting recap: Books 'were in sight of Xanadu',https://www.foxsports.com/stories/nfl/2024-nfl-week-10-betting-recap-books-were-sight-xanadu,"Mon, 11 Nov 2024 12:43:01 -0500","NFL favorites went 1-7 ATS in Week 10. However, Denver and Washington losses prevented the house from having a ""Sunday for the ages."" Patrick Everson has the scoop.",No content found
FOX Sports Digital,"Joel Embiid expected to make season debut for 76ers after injuries, suspension",https://www.foxsports.com/stories/nba/joel-embiid-expected-make-season-debut-76ers-after-injuries-suspension,"Mon, 11 Nov 2024 16:48:53 -0500",Joel Embiid is expected to make his season debut Tuesday night for the Philadelphia 76ers,No content found
FOX Sports Digital,Thunder's Chet Holmgren to miss at least 8 weeks with a pelvic fracture,https://www.foxsports.com/stories/nba/thunders-chet-holmgren-miss-least-8-weeks-pelvic-fracture,"Mon, 11 Nov 2024 16:23:06 -0500",Oklahoma City Thunder forward Chet Holmgren will miss at least eight weeks with a pelvic fracture.,No content found
FOX Sports Digital,2024-25 NBA MVP odds: Nikola Jokic takes over as new favorite,https://www.foxsports.com/stories/nba/2024-25-nba-mvp-odds-futures,"Mon, 11 Nov 2024 12:28:00 -0500","If the beginning of the season is any indication, The Joker is en route to winning a fourth MVP in five years. See the latest.",No content found
FOX Sports Digital,Lakers' Anthony Davis injures eye while blocking Jakob Poeltl's dunk attempt,https://www.foxsports.com/stories/nba/lakers-anthony-davis-injures-eye-while-blocking-jakob-poeltls-dunk-attempt,"Mon, 11 Nov 2024 00:07:58 -0500",Anthony Davis went to the Los Angeles Lakers’ locker room midway through the third quarter after getting hit in the face while blocking a dunk attempt by Toronto’s Jakob Poeltl,No content found
FOX Sports Digital,Kevin Durant out at least 2 weeks for Suns with left calf strain,https://www.foxsports.com/stories/nba/kevin-durant-out-least-2-weeks-suns-left-calf-strain,"Sat, 09 Nov 2024 20:10:19 -0500","Kevin Durant is out for at least two weeks with a left calf strain, putting a damper on a hot start to the season for the Phoenix Suns",No content found
FOX Sports Digital,Grizzlies 2-time All-Star Ja Morant week to week with injured right hip,https://www.foxsports.com/stories/nba/grizzlies-2time-allstar-ja-morant-week-to-week-with-injured-right-hip,"Sat, 09 Nov 2024 18:24:39 -0500",The Memphis Grizzlies announced Saturday that two-time All-Star point guard Ja Morant has an injured right hip that will keep him out week to week,No content found
FOX Sports Digital,"Zion Williamson is out indefinitely with hamstring injury, Pelicans say",https://www.foxsports.com/stories/nba/zion-williamson-is-out-indefinitely-with-a-left-hamstring-injury-pelicans-say,"Sat, 09 Nov 2024 16:22:37 -0500",The New Orleans Pelicans say Zion Williamson has been diagnosed with a left hamstring strain that will sideline him indefinitely,No content found
FOX Sports Digital,Los Angeles Lakers assign Bronny James to G League team,https://www.foxsports.com/stories/nba/los-angeles-lakers-assign-bronny-james-g-league-south-bay,"Thu, 07 Nov 2024 18:03:52 -0500","The Los Angeles Lakers have assigned rookie Bronny James to the team's G League South Bay affiliate, but he's only expected to play home games there and still see time with the main squad.",No content found
FOX Sports Digital,Paul George wanted to stay with Clippers for Kawhi Leonard: 'I'm loyal to him',https://www.foxsports.com/stories/nba/paul-george-wanted-stay-clippers-kawhi-leonard-im-loyal-him,"Thu, 07 Nov 2024 17:30:58 -0500","Paul George never intended to leave Los Angeles, but now that he's in Philadelphia, he believes he can win ""multiple"" NBA championships alongside Joel Embiid.",No content found
FOX Sports Digital,Paul George booed in return to LA for first time since leaving Clippers to join 76ers,https://www.foxsports.com/stories/nba/paul-george-booed-return-la-first-time-since-leaving-clippers-join-76ers,"Wed, 06 Nov 2024 23:24:02 -0500",Paul George was booed in his return to Los Angeles for the first time since leaving the Clippers last summer for the Philadelphia 76ers.,No content found
FOX Sports Digital,Ex-UC Riverside standout Kyle Owens is 'looking for somebody to save my life',https://www.foxsports.com/stories/college-basketball/ex-uc-riverside-standout-kyle-owens-looking-somebody-save-my-life,"Wed, 06 Nov 2024 17:08:13 -0500","Kyle Owens needs a bone-marrow transplant, and he and his family are hoping people between the ages of 18-40 will take a cheek swab test to see if they're a match.",No content found
FOX Sports Digital,Nuggets forward Aaron Gordon expected to miss multiple weeks with calf strain,https://www.foxsports.com/stories/nba/nuggets-forward-aaron-gordon-expected-miss-multiple-weeks-calf-strain,"Tue, 05 Nov 2024 18:24:04 -0500","Denver Nuggets power forward Aaron Gordon is expected to miss multiple weeks with a strained right calf, two people familiar with the injury told The Associated Press",No content found
FOX Sports Digital,NBA suspends Sixers star Joel Embiid three games for shoving newspaper columnist,https://www.foxsports.com/stories/nba/nba-suspends-sixers-star-joel-embiid-three-games-shoving-newspaper-columnist,"Tue, 05 Nov 2024 16:57:30 -0500",The NBA has suspended Philadelphia 76ers star Joel Embiid three games for shoving a newspaper columnist.,No content found
FOX Sports Digital,"'We can't wait to have him back' Spurs, Clippers send well wishes to ill Gregg Popovich",https://www.foxsports.com/stories/nba/we-cant-wait-have-him-back-spurs-clippers-send-well-wishes-ill-gregg-popovich,"Tue, 05 Nov 2024 02:47:51 -0500",Gregg Popovich's absence was felt by both the home and away locker rooms on Monday night.,No content found
FOX Sports Digital,Spurs coach Gregg Popovich sidelined indefinitely with undisclosed illness,https://www.foxsports.com/stories/nba/spurs-coach-gregg-popovich-sidelined-indefinitely-with-undisclosed-illness,"Mon, 04 Nov 2024 11:50:04 -0500",Spurs coach Gregg Popovich is out indefinitely while recovering from an illness that forced him to miss Saturday's win over the Timberwolves.,No content found
FOX Sports Digital,"2024-25 NBA championship odds: Celtics, Thunder separating from the pack",https://www.foxsports.com/stories/nba/2024-25-nba-finals-odds-team-futures,"Mon, 04 Nov 2024 11:21:32 -0500",A number of contenders are chasing the defending champion Celtics on the oddsboard. Check out where things stand now that the new NBA season has tipped off.,No content found
FOX Sports Digital,"76ers star Joel Embiid verbally confronts, then shoves, Philadelphia reporter",https://www.foxsports.com/stories/nba/76ers-star-joel-embiid-verbally-confronts-shoves-philadelphia-reporter,"Sun, 03 Nov 2024 01:05:30 -0400",A visibly angry Joel Embiid shouted at and eventually shoved a Philadelphia newspaper columnist in a locker room altercation after the struggling 76ers lost to the Memphis Grizzlies on Saturday night,No content found
FOX Sports Digital,"NBA considering All-Star Game changes again, away from the 'traditional' format",https://www.foxsports.com/stories/nba/nba-considering-all-star-game-changes-again-away-from-traditional-format,"Sat, 02 Nov 2024 22:45:10 -0400","The NBA is considering changing the format for the All-Star Game that will be played in San Francisco later this season, Commissioner Adam Silver said",No content found
FOX Sports Digital,Toronto Raptors retire Vince Carter's jersey in emotional ceremony,https://www.foxsports.com/stories/nba/toronto-raptors-retire-vince-carters-jersey-emotional-ceremony,"Sat, 02 Nov 2024 22:04:26 -0400",An emotional Vince Carter acknowledged his contentious exit from Toronto as his No. 15 jersey became the first number retired by the Raptors in a halftime ceremony during the team's game against Sacramento,No content found
FOX Sports Digital,76ers' Joel Embiid hits back at angry fans: 'I've done way too much for this city',https://www.foxsports.com/stories/nba/76ers-joel-embiid-hits-back-angry-fans-ive-done-way-too-much-city,"Fri, 01 Nov 2024 17:55:14 -0400",Joel Embiid and Paul George will each miss a fifth straight game with left knee injuries when the Philadelphia 76ers host Memphis on Saturday night.,No content found
